"title","date","body"
"tennis,nadal,pull,brisbane,thigh,problem","January 2, 2019","rafa,nadal,pull,week,brisbane,due,minor,thigh,strain,spaniard,hopeful,shake,problem,time,australian,later,monthnadal,endure,season,saw,contest,nine,due,hip,knee,abdomen,ankle,injury,world,number,two,say,decision,skip,still,want,play,play,important,risk,chance,play,melbourne,nadal,due,face,frenchman,jowilfried,tsonga,second,thursday,say,small,thing,become,much,big,compete,intensity,muscle,get,bad,feel,well,four,day,ago,risk,damage,body,one,month,play,herethe,yearold,play,retire,juan,martin,del,potro,semifinal,last,september,underwent,ankle,surgery,two,month,laterhe,lose,threeset,exhibition,match,south,africas,kevin,anderson,abu,dhabi,last,week,indicate,fighting,fit,ahead,brisbane,mri,scan,reveal,otherwisei,ready,understand,kind,stuff,happen,youre,come,back,injury,accept,keep,go,nadal,withdrawn,tournament,last,year,well,addedlucky,loser,taro,daniel,replace,nadal,second,season,nadal,manage,win,five,title,last,year,include,th,french,title,take,grand,slam,tally,australian,begin,melbourne,jan,report,shrivathsa,sridhar,bengaluru,edit,sudipto,ganguly,christian"
"rio,tinto,mongolia,sign,power,deal,oyu,tolgoi,copper,mine","January 2, 2019","rio,tinto,mongolia,sign,deal,supply,power,miner,giant,copper,mine,extension,oyu,tolgoi,mid,side,say,framework,agreement,mark,step,forward,protract,disputethe,oyu,tolgoi,project,central,rio,tintos,push,diversify,portfolio,away,iron,ore,faced,series,challenge,mongolias,fragile,government,wrangle,maximise,benefit,production,billion,expansion,locate,southern,border,china,schedule,early,next,decade,create,one,world,big,copper,megawatt,plant,close,tavan,tolgoi,coalfield,supply,mine,start,plant,expect,mid,slightly,later,date,moot,government,cancel,early,power,agreement,government,mongolia,own,percent,oyu,tolgoi,remainder,hold,turquoise,hill,resource,turn,percent,own,rio,tintoin,joint,statement,oyu,tolgoi,mongolian,government,say,agreement,step,towards,enhance,efficiency,tavan,tolgoi,coal,mine,supply,wider,region,domestic,powerthe,statement,say,partner,would,also,consider,use,renewable,poweroyu,tolgoi,would,majority,owner,power,plant,funding,possibly,include,third,party,debt,statement,say,give,welcome,deal,say,deadline,look,last,major,hurdle,production,munkhdul,badral,bontoi,chief,executive,market,group,cover,mongolia,saida,mongolian,government,spokesman,say,agreement,first,step,retain,country,estimate,million,oyu,tolgoi,currently,pay,china,year,figure,set,rise,extension,come,onlinerio,tinto,july,enter,agreement,three,chinese,design,power,station,supply,oyu,tolgoion,monday,spokesman,decline,comment,status,tendersrio,tintos,share,fall,percent,year,percent,barbara,lewis,edit,kirsten,donovanour"
"uschina,trade,war,take,toll,global","January 2, 2019","londonhong,kong,factory,activity,weaken,much,europe,asia,december,uschina,trade,war,slowdown,demand,hit,production,many,economy,offer,little,reason,optimism,year,beginsa,series,purchasing,manager,index,december,release,wednesday,mostly,show,decline,slowdown,activity,globein,china,caixinihs,markit,pmi,slip,territory,first,time,month,broadly,track,official,survey,release,mondaywe,really,see,global,slowdown,year,asia,country,hurt,say,irene,cheung,asia,strategist,anzour,central,bank,wont,change,policy,number,come,weak,side,wont,change,zone,activity,barely,expand,end,provide,read,european,central,bank,end,trillion,pmi,survey,show,italy,remain,territory,joined,france,data,show,first,operate,condition,growth,germany,spain,modest,ease,weak,factory,however,ramp,prepared,possible,border,delay,britain,leaf,european,union,less,three,month,timethe,uk,pmi,rise,sixmonth,high,strong,forecast,poll,economist,compiler,ihs,markit,caution,herald,big,change,outlook,britains,stutter,economy,cause,large,part,input,finish,headline,index,rise,sixmonth,high,december,pmi,still,suggest,sector,stagnate,say,andrew,wishart,capital,wednesday,survey,expect,show,activity,tad,slow,still,expand,sign,china,suffer,trade,friction,unite,statesbut,world,share,start,downbeat,note,oil,price,bond,yield,slide,japanese,yen,wednesday,factory,survey,data,confirm,picture,global,economic,slowdown,weakness,spill,asian,economy,malaysian,slow,weak,pace,expansion,survey,begin,taiwan,fell,low,september,meanwhile,official,economic,data,singapore,show,gross,domestic,product,grow,slowly,forecast,fourth,quarter,citystates,contract,quarterly,basiswith,growth,slow,inflation,barely,target,country,asian,central,bank,unlikely,continue,tighten,cycle,year,bar,shock,currency,graphic,asian,central,bank,policy,world,two,large,economy,agree,start,december,day,truce,follow,titfortat,tariff,disrupt,flow,hundred,billion,dollar,good,two,drag,china,economy,beijing,sustain,drive,reduce,debt,risk,economy,cool,property,market,curb,credit,flow,private,sector,meanwhile,crackdown,pollution,dent,industrial,activityin,key,annual,conference,last,month,chinas,top,leader,say,would,boost,support,economy,cut,tax,keep,liquidity,ample,promise,continue,economic,growth,slow,percent,third,quarter,last,year,weak,global,financial,crisis,report,government,adviser,growth,target,percent,year,annual,meeting,though,final,figure,wont,make,public,annual,meeting,early,marcha,drop,crudeoil,pricesat,end,last,year,help,sentiment,asia,economy,trade,deficit,key,pmi,although,still,weak,rise,india,decline,capped,strong,quarter,country,late,malaysia,relies,heavily,oil,revenue,saw,weak,reading,evertaiwan,south,korea,heavily,focussed,tech,production,also,saw,activity,shrink,uschina,trade,war,affect,chip,order,coincides,slowdown,demand,smart,phone,sam,holmes,larry,king,jon,boyleour"
"kurdish,fighter,pull,flashpoint,town,syrias,defence,ministry","January 2, 2019","beirut,convoy,syrian,kurdish,fighter,pull,flashpoint,area,manbij,northern,syria,close,territory,control,turkey,syria,defence,ministry,say,km,mile,turkish,border,town,occupies,critical,spot,map,syrian,conflict,junction,three,separate,block,territory,form,spheres,russian,turkish,kurdish,fighter,leave,manbij,far,syrian,defence,ministry,say,departure,line,agreement,return,normal,life,area,northern,syria,saidthe,ministry,show,online,video,dozen,vehicle,travel,unmade,road,carry,arm,fighter,wave,flag,kurdishled,people,protection,unit,ypg,militia,female,ypjthe,ypg,strong,element,syrian,defence,force,sdf,coalition,militia,united,state,back,campaign,islamic,state,help,capture,swathe,north,east,attack,turkey,pullout,syria,ypg,ask,syrian,government,force,deploy,area,immediate,comment,ypg,sdf,withdrawal,many,fighter,might,remain,regard,ypg,terrorist,group,tie,pkk,border,stag,incursion,syria,support,syrian,rebel,push,turkish,frontieras,result,one,incursion,force,hold,area,border,manbij,ankara,repeatedly,demand,ypg,leave,area,cross,east,bank,ypg,previously,announce,pulled,force,manbij,say,fighter,still,area,belong,local,militia,ally,sdfus,force,stability,manbij,islamic,state,defeat,conduct,joint,patrol,turkish,force,november,effort,allay,ankaras,security,angus,mcdowall,edit,richard"
"hyundai,flag,tough,china,demand,stay,slow","January 2, 2019","seoul,south,koreas,hyundai,motor,group,flag,another,year,tepid,car,sale,growth,back,slow,say,trade,add,major,market,united,state,china,remain,sluggishin,first,year,address,employee,group,heir,apparent,euisun,chung,say,hyundai,motor,co,kia,motor,corp,would,complete,south,korea,widely,expect,pave,way,formally,succeed,father,head,groupthe,succession,plan,come,hyundai,contend,bunch,problem,cost,market,share,china,united,state,stall,rise,rank,global,miss,boom,sport,utility,vehicle,suvs,face,potential,tariff,handled,vehicle,recall,lose,ground,advance,global,economy,continue,falter,wall,world,chung,tell,hundred,employee,group,face,task,business,major,market,like,china,enhance,drive,future,kia,together,worlds,automaker,set,call,target,million,vehicle,sale,percent,increase,million,vehicle,sell,last,yearitem,employee,hyundai,motor,group,attend,company,year,ceremony,seoul,south,korea,january,reuterskim,hyundai,motor,group,attend,company,year,ceremony,seoul,south,korea,january,reuterskim,tabthe,sale,fell,short,group,target,million,vehicle,mark,fourth,annual,sale,goal,miss,duo,sell,million,vehicle,morgan,stanley,expect,global,auto,production,fall,percent,first,drop,nine,yearsin,group,say,would,launch,facelifted,model,include,premium,genesis,suv,sonata,launch,model,also,make,difficult,hyundai,increase,share,sluggish,market,china,europe,say,sean,kim,analyst,dongbu,share,end,percent,kia,slump,percent,wider,market,say,hyundai,would,launch,pilot,service,autonomous,taxi,south,korea,expand,lead,player,areahe,also,pledge,actively,apparent,reference,hedge,fund,elliott,management,corp,scuttle,previous,plan,last,hyunjoo,jin,jumin,park,edit,sayantani,ghosh,stephen,coatesour"
"russian,apartment,block,blast,kill,three,dozen,miss,agency","December 31, 2018","moscow,russian,rescuer,monday,search,people,still,trap,rubble,city,apartment,block,partly,collapse,suspect,gas,blast,kill,least,three,ria,ministry,tell,news,agency,four,people,recover,alive,ninestorey,build,industrial,city,km,mile,east,moscow,southern,uralsnews,agency,tass,say,people,quote,regional,deputy,governor,oleg,klimovthe,ministry,say,blast,probably,cause,gas,leak,damage,say,ripped,build,gmt,many,resident,asleep,monday,public,holiday,several,similar,incident,russia,recent,year,due,age,poor,safety,gas,usagein,least,five,people,kill,gas,explosion,damage,apartment,building,southern,russian,city,vladimir,soldatkin,gabrielle,edit,john"
"ukraine,say,russian,gas,transit,fall,pct","January 2, 2019","kiev,jan,russian,natural,gas,volume,pip,via,ukraine,european,consumer,fell,percent,billion,cubic,metre,bcm,ukrainian,gas,transport,monopoly,say,give,reason,third,russia,gas,export,european,union,cross,ukraine,russian,gas,giant,gazprom,say,want,bypass,ukraine,build,gas,export,via,ukraine,bcm,bcm,relation,two,country,russia,annexed,crimean,peninsula,march,ukraine,halt,import,russian,gas,sign,natalia,zinets,write,pavel,polityuk,edit,edmund,blairour"
"china,economic,growth,may,fall,percent,central,bank,magazine","January 2, 2019","beijing,chinas,economic,growth,could,fall,percent,fourth,quarter,company,face,increased,central,bank,magazine,say,trend,economic,slowdown,still,continue,slow,momentum,increase,fourth,quarter,gdp,growth,possible,low,percent,say,china,finance,magazine,publish,people,bank,chinathe,government,step,tax,cut,help,ease,burden,company,especially,small,firm,magazine,saidthe,phenomenon,closure,layoffs,common,employee,income,growth,greatly,restrict,leader,pledge,ratchet,support,economy,cut,tax,keep,ample,liquidity,amid,trade,dispute,united,economic,growth,slow,percent,third,quarter,weak,pace,global,financial,crisis,momentum,likely,come,fourth,quarter,next,official,say,economy,would,still,hit,official,growth,target,percent,report,kevin,yao,edit,nick,macfieour"
"dubai,crude,average,price,dec,drop,low,oct","January 2, 2019","singapore,jan,dubai,crude,quote,agency,sp,global,platts,average,barrel,december,low,october,two,trader,market,say,wednesday,monthly,average,december,dubai,oman,well,mean,average,oman,dubai,quote,platts,indicate,table,middle,east,producer,set,monthly,official,sell,price,osps,base,average,saudi,aramco,change,benchmark,set,official,selling,price,asia,start,october,average,platts,dubai,dme,oman,crude,future,average,reference,price,saudi,crude,osps,asia,set,barrel,base,partly,dme,average,december,crude,dec,nov,change,platts,dubai,platts,oman,platts,omandubai,average,platts,dubaidme,oman,average,reporting,florence,tan,edit,christian,uphereour"
"total,start,production,nigerias,egina,oil,field","January 2, 2019","paris,jan,french,oil,major,total,sa,start,production,egina,deep,oil,field,nigeria,production,expect,plateau,barrel,oil,day,company,say,rate,output,represent,percent,nigerias,current,oil,project,expect,boost,total,oil,production,cashflow,onwards,company,say,inti,landauro,edit,richard,loughour"
